Name,ID,Class,Section,Phone,Email,Math,English,Hindi,Science,Economics,History,Geography,Telugu,Physics,Chemistry
Student_82,b96324f9,11,C,8383446278,student_82@school.com,,62.0,,,46.0,93.0,,73.0,73.0,
Student_83,a7bcc54e,7,B,9980353514,student_83@school.com,,,,,48.0,,90.0,56.0,89.0,80.0
Student_84,8b626f5d,6,B,6652318889,student_84@school.com,67.0,,68.0,,46.0,70.0,70.0,,,
Student_85,f1169cf7,6,D,7620169435,student_85@school.com,,,84.0,,64.0,69.0,91.0,,,86.0
Student_86,78e61647,8,C,7043929316,student_86@school.com,,70.0,48.0,,,86.0,,84.0,82.0,
Student_87,120c12b6,8,D,8249353598,student_87@school.com,,48.0,76.0,61.0,43.0,74.0,,,,
Student_88,978ea0bd,6,D,8483239160,student_88@school.com,61.0,41.0,,65.0,,95.0,60.0,,,
Student_89,18c8101c,9,B,7124447129,student_89@school.com,,94.0,,79.0,,89.0,96.0,,,45.0
Student_90,b837c655,10,B,6966995939,student_90@school.com,,70.0,,,71.0,,,75.0,86.0,76.0
Student_91,4413ea6f,7,A,6252258455,student_91@school.com,,,77.0,,99.0,,93.0,67.0,,97.0
Student_92,190347c2,11,B,9951795347,student_92@school.com,,,,,45.0,77.0,74.0,,67.0,54.0
Student_93,6ec9b5c3,6,B,6005218330,student_93@school.com,,,88.0,,,,80.0,80.0,72.0,84.0
Student_94,1b8211ca,6,C,7478986993,student_94@school.com,43.0,79.0,,,,52.0,,72.0,,86.0
Student_95,6073cc48,8,C,8926772678,student_95@school.com,,63.0,74.0,98.0,91.0,,96.0,,,
Student_96,94052e32,11,C,7728863611,student_96@school.com,87.0,59.0,,84.0,,40.0,,,83.0,
Student_97,345719cc,10,D,8682251373,student_97@school.com,75.0,99.0,56.0,,77.0,,,75.0,,
Student_98,16147924,8,D,7576744311,student_98@school.com,,80.0,58.0,,44.0,,80.0,,95.0,
Student_99,a1513eea,7,E,8976606650,student_99@school.com,50.0,,,95.0,40.0,44.0,,63.0,,
Student_100,3b047274,8,C,7420573114,student_100@school.com,,58.0,100.0,68.0,,,50.0,,64.0,
Student_101,5dbd5dd9,11,D,6814620219,student_101@school.com,,61.0,,91.0,54.0,,59.0,,,85.0
Student_102,78244e2e,10,B,8711064548,student_102@school.com,,96.0,,49.0,,,,86.0,95.0,66.0
Student_103,3c06877b,8,D,7332453105,student_103@school.com,,70.0,,72.0,70.0,,,96.0,,94.0
Student_104,73a8dde8,7,B,6714079866,student_104@school.com,,57.0,,75.0,,45.0,,96.0,,66.0
Student_105,e7053042,8,D,8386877062,student_105@school.com,,,,56.0,93.0,50.0,,70.0,,92.0
Student_106,66533282,11,B,6675989744,student_106@school.com,54.0,,,73.0,,87.0,,,50.0,60.0
Student_107,53d04d3b,7,B,7605510818,student_107@school.com,,87.0,79.0,,,78.0,,,45.0,50.0
Student_108,0760671e,7,A,9771616824,student_108@school.com,86.0,,75.0,,46.0,,65.0,,92.0,
Student_109,c084cfc8,8,A,8440166502,student_109@school.com,,84.0,55.0,73.0,78.0,,,,74.0,
Student_110,f50c6ddb,10,A,8718098075,student_110@school.com,40.0,,92.0,,42.0,,95.0,78.0,,
Student_111,3e2cabc0,6,B,6565565721,student_111@school.com,78.0,,87.0,,,56.0,,,91.0,72.0
Student_112,56e371bd,8,E,6464138464,student_112@school.com,52.0,83.0,75.0,,,,,100.0,,74.0
Student_113,5cbad7a7,6,A,6664362800,student_113@school.com,99.0,79.0,,,,89.0,40.0,,68.0,
Student_114,0ab5b322,11,D,8387941158,student_114@school.com,,88.0,75.0,,84.0,,,,85.0,55.0
Student_115,5480d229,10,E,7992630651,student_115@school.com,85.0,,,73.0,61.0,,99.0,72.0,,
Student_116,aae40003,9,E,6502574086,student_116@school.com,,60.0,,71.0,,57.0,73.0,97.0,,
Student_117,e81d73eb,9,A,6529870622,student_117@school.com,73.0,62.0,,,,100.0,,99.0,,63.0
Student_118,2c960ebe,11,D,8384151411,student_118@school.com,96.0,,,68.0,,74.0,,45.0,58.0,
Student_119,e09bc32c,11,E,7050845968,student_119@school.com,,77.0,,,,98.0,,46.0,98.0,68.0
Student_120,6ddcc65d,9,E,9378214870,student_120@school.com,89.0,,45.0,41.0,,,,,76.0,73.0
Student_121,c2279387,6,B,7467568804,student_121@school.com,72.0,,97.0,93.0,,57.0,,,,69.0
Student_122,20ad5443,8,E,8637648483,student_122@school.com,69.0,,,,,83.0,60.0,64.0,68.0,
Student_123,a311f11a,7,C,8184448517,student_123@school.com,89.0,,78.0,,68.0,,,,88.0,84.0
Student_124,5dcc1e2c,7,B,8269988380,student_124@school.com,,84.0,,51.0,,83.0,67.0,97.0,,
Student_125,1c5d3023,7,A,9039675850,student_125@school.com,,92.0,,78.0,,51.0,,85.0,76.0,
Student_126,4a4e9347,9,A,6581446406,student_126@school.com,,,,,98.0,91.0,77.0,,94.0,57.0
Student_127,252164fb,9,A,9527957028,student_127@school.com,,,46.0,43.0,83.0,,,74.0,86.0,
Student_128,3159528d,6,E,7112782802,student_128@school.com,,50.0,96.0,64.0,,72.0,,40.0,,
Student_129,8a8f5a3e,10,D,7691893037,student_129@school.com,91.0,,100.0,,,,,64.0,49.0,72.0
Student_130,c19298f3,6,B,9465584976,student_130@school.com,51.0,51.0,58.0,90.0,,,,90.0,,
Student_131,8a3db0ac,8,D,9061883874,student_131@school.com,96.0,,,99.0,44.0,57.0,,,71.0,
Student_132,d4af13ad,8,A,6244887980,student_132@school.com,,,,,67.0,48.0,78.0,,42.0,77.0
Student_133,9c35c280,10,B,7138811133,student_133@school.com,50.0,87.0,,,56.0,79.0,,90.0,,
Student_134,65cb07cd,10,C,7051425494,student_134@school.com,77.0,,81.0,75.0,94.0,,89.0,,,
Student_135,cac3dd47,11,E,7181571281,student_135@school.com,60.0,,80.0,,83.0,53.0,,,73.0,
Student_136,8a57c2b4,11,A,8808642604,student_136@school.com,57.0,,55.0,,,83.0,,87.0,,41.0
Student_137,6b030fe2,7,E,8019658329,student_137@school.com,100.0,,63.0,,,81.0,75.0,,,86.0
Student_138,9bb788f8,9,D,6661579718,student_138@school.com,,100.0,,,96.0,82.0,,72.0,90.0,
Student_139,8be75102,6,B,9673454855,student_139@school.com,,,61.0,74.0,81.0,56.0,90.0,,,
Student_140,6cee66d2,11,D,9397032021,student_140@school.com,68.0,,,71.0,,74.0,78.0,,42.0,
Student_141,def47359,8,E,8908446124,student_141@school.com,47.0,,47.0,,,73.0,79.0,,,44.0
Student_142,1a4db18f,10,D,9498202121,student_142@school.com,,,58.0,,,41.0,67.0,,66.0,93.0
Student_143,50893074,10,A,8012712396,student_143@school.com,100.0,,54.0,53.0,,76.0,,,,85.0
Student_144,211c9376,6,E,7005354310,student_144@school.com,,,98.0,45.0,,,,99.0,100.0,80.0
Student_145,7ae5a9df,6,C,7820691558,student_145@school.com,,63.0,,,83.0,90.0,97.0,,,99.0
Student_146,dcea37f3,9,A,7279341316,student_146@school.com,,,72.0,,60.0,,62.0,,51.0,66.0
Student_147,b5f7e1d7,10,C,9988760411,student_147@school.com,,,97.0,65.0,71.0,,57.0,66.0,,
Student_148,cdbbf090,9,C,9652337331,student_148@school.com,,72.0,64.0,64.0,71.0,,,,55.0,
Student_149,2edd1eeb,6,D,9811197702,student_149@school.com,72.0,41.0,,89.0,,,98.0,,83.0,
Student_150,2951af71,7,A,6969407468,student_150@school.com,,,50.0,,74.0,62.0,,,44.0,90.0
Student_151,bea6fe9a,11,D,8670838655,student_151@school.com,82.0,92.0,,95.0,81.0,,,78.0,,
Student_152,6a10578d,6,B,8695432142,student_152@school.com,,,,,61.0,78.0,,82.0,71.0,95.0
Student_153,51283a84,10,C,6784948820,student_153@school.com,,46.0,72.0,76.0,,,59.0,66.0,,
Student_154,fe9731e0,7,D,8168630808,student_154@school.com,,67.0,88.0,70.0,,,85.0,75.0,,
Student_155,34c1c99d,9,A,6854185196,student_155@school.com,,,,96.0,,,77.0,71.0,44.0,96.0
Student_156,2d09b528,6,E,6890459868,student_156@school.com,,58.0,,,,95.0,84.0,65.0,,43.0
Student_157,0fcdce64,10,C,6978301238,student_157@school.com,,100.0,71.0,58.0,,52.0,,,70.0,
Student_158,26d9830c,6,C,6183350706,student_158@school.com,55.0,,54.0,,,61.0,84.0,99.0,,
Student_159,3bf3308c,9,D,8314971009,student_159@school.com,,64.0,48.0,66.0,,50.0,,,,57.0
Student_160,72e6145e,6,E,7184150364,student_160@school.com,72.0,,61.0,,,55.0,,,76.0,40.0
Student_161,83e6e2b5,9,D,6632076346,student_161@school.com,53.0,,,66.0,66.0,55.0,85.0,,,
Student_162,097ca008,6,B,9835350465,student_162@school.com,,,67.0,,99.0,,51.0,64.0,,63.0
Student_163,ad1b942d,6,B,8185463856,student_163@school.com,,89.0,,98.0,,82.0,44.0,,40.0,
Student_164,17a354fd,9,A,7022626267,student_164@school.com,,,85.0,86.0,,,,75.0,96.0,69.0
Student_165,3b1b4d4d,6,D,7627686151,student_165@school.com,67.0,51.0,75.0,99.0,43.0,,,,,
Student_166,85d70f7b,9,E,7290371805,student_166@school.com,43.0,,,84.0,57.0,,,71.0,,83.0
Student_167,86bd3589,7,A,8336652727,student_167@school.com,,,,99.0,50.0,100.0,56.0,71.0,,
Student_168,2e8a4c8a,9,C,9723865322,student_168@school.com,,,,55.0,69.0,47.0,74.0,41.0,,
Student_169,6ca4a4b1,7,A,6681783573,student_169@school.com,,58.0,,79.0,94.0,,,93.0,,97.0
Student_170,2678cc02,9,A,7556594408,student_170@school.com,,60.0,96.0,70.0,57.0,,,,89.0,
Student_171,fd94ec88,10,A,6339309632,student_171@school.com,86.0,,97.0,93.0,97.0,,43.0,,,
Student_172,cc7a2e6c,10,C,6527168336,student_172@school.com,43.0,,,75.0,91.0,83.0,,,48.0,
Student_173,1536cf02,6,B,6562036170,student_173@school.com,57.0,44.0,49.0,51.0,,51.0,,,,
Student_174,1deccc77,10,D,8977207280,student_174@school.com,,,60.0,,87.0,,70.0,,97.0,74.0
Student_175,19e20f99,8,B,7207011274,student_175@school.com,85.0,61.0,,52.0,79.0,,,45.0,,
Student_176,92b814ea,8,D,9206458925,student_176@school.com,,48.0,,49.0,,80.0,94.0,,53.0,
Student_177,832c1711,7,B,7346061862,student_177@school.com,63.0,,,77.0,54.0,,,44.0,,69.0
Student_178,32a5a312,11,B,6107436487,student_178@school.com,,61.0,,62.0,,50.0,,,41.0,88.0
Student_179,c559d838,11,E,6743047469,student_179@school.com,,,,,90.0,,74.0,64.0,98.0,45.0
Student_180,c44abe70,10,C,8951712383,student_180@school.com,55.0,,78.0,,61.0,,,,48.0,77.0
Student_181,67412206,9,C,6142440135,student_181@school.com,78.0,89.0,,,61.0,,57.0,,,49.0
Student_182,ea1a1353,11,E,9865382133,student_182@school.com,86.0,,57.0,91.0,95.0,,,,77.0,
Student_183,eb6d0e6d,6,B,9628253524,student_183@school.com,40.0,,,49.0,,52.0,70.0,,,99.0
Student_184,49abe100,6,C,8914196180,student_184@school.com,,,85.0,,66.0,60.0,77.0,,42.0,
Student_185,be855381,9,D,7330650803,student_185@school.com,65.0,65.0,,100.0,72.0,,,,73.0,
Student_186,246e289e,7,C,9846342016,student_186@school.com,,,47.0,,88.0,99.0,,63.0,63.0,
Student_187,9c261a0a,9,B,9347346534,student_187@school.com,50.0,,,87.0,,43.0,,84.0,,97.0
Student_188,fe98de77,7,C,6048093583,student_188@school.com,,94.0,,,61.0,,,58.0,72.0,69.0
Student_189,b5aac893,10,B,8638683054,student_189@school.com,,82.0,91.0,,,,71.0,68.0,79.0,
Student_190,61956446,10,E,8136685317,student_190@school.com,94.0,92.0,,53.0,,61.0,,,,52.0
Student_191,773ca0c3,11,D,8940654033,student_191@school.com,,,87.0,89.0,40.0,,64.0,,,58.0
Student_192,0747df11,10,B,6443004086,student_192@school.com,46.0,,43.0,,,63.0,75.0,41.0,,
Student_193,217ed309,7,A,8453788705,student_193@school.com,,94.0,62.0,,92.0,58.0,,,,86.0
Student_194,1db78594,8,B,9266058030,student_194@school.com,,93.0,,,,66.0,,50.0,42.0,98.0
Student_195,c2183b4f,11,B,8585504933,student_195@school.com,,56.0,74.0,,,,,41.0,83.0,53.0
Student_196,d42995dc,9,C,7132078715,student_196@school.com,76.0,,48.0,,,74.0,44.0,62.0,,
Student_197,e2b7a40e,9,A,8277646137,student_197@school.com,,,,75.0,,94.0,,90.0,40.0,97.0
Student_198,962ec4af,6,E,6930468379,student_198@school.com,,82.0,,42.0,,,,91.0,95.0,53.0
Student_199,ef655f4f,6,B,6279508191,student_199@school.com,81.0,63.0,72.0,89.0,,,,94.0,,
Student_200,07ad3ed1,11,C,7470050990,student_200@school.com,55.0,89.0,40.0,,,,,67.0,55.0,
Student_201,2d20f6de,9,D,8433240847,student_201@school.com,65.0,,66.0,76.0,58.0,,,,,72.0
Student_202,e179791e,10,D,7453628725,student_202@school.com,,62.0,,,,44.0,81.0,71.0,,77.0
Student_203,789f5ff2,8,A,8348357894,student_203@school.com,,49.0,48.0,,58.0,,,,67.0,76.0
Student_204,eddeced6,10,D,6356202608,student_204@school.com,77.0,100.0,,,61.0,41.0,,,,79.0
Student_205,0450df4a,11,D,8004399834,student_205@school.com,78.0,,,,62.0,85.0,,,68.0,63.0
Student_206,cca169db,8,B,9426184429,student_206@school.com,66.0,95.0,77.0,,,,94.0,42.0,,
Student_207,8d772cfa,10,A,6984870545,student_207@school.com,,74.0,,,,,98.0,40.0,60.0,81.0
Student_208,f384d991,11,A,7637649112,student_208@school.com,,51.0,,49.0,,84.0,73.0,92.0,,
Student_209,6cb9d50b,6,E,9559196558,student_209@school.com,,40.0,100.0,66.0,74.0,,95.0,,,
Student_210,264dd362,8,B,8136229122,student_210@school.com,56.0,,,41.0,,42.0,42.0,,73.0,
Student_211,1925683f,9,D,8484262432,student_211@school.com,,,,,80.0,63.0,90.0,93.0,45.0,
Student_212,edc26ffb,8,E,8863332179,student_212@school.com,,,80.0,,99.0,73.0,,48.0,,58.0
Student_213,fb65546f,11,E,9902286475,student_213@school.com,,98.0,,,98.0,71.0,81.0,85.0,,
Student_214,a8d58249,10,A,6053090863,student_214@school.com,,44.0,42.0,48.0,45.0,,,,81.0,
Student_215,444852da,11,B,8634061330,student_215@school.com,,,,90.0,50.0,79.0,,,51.0,66.0
Student_216,c895c869,10,C,8454798507,student_216@school.com,,89.0,,,,74.0,,94.0,88.0,83.0
Student_217,2fb21c64,9,D,8608264758,student_217@school.com,,71.0,50.0,,92.0,,,99.0,86.0,
Student_218,6cf5a13e,11,A,8985243249,student_218@school.com,67.0,,,93.0,,,,41.0,85.0,89.0
Student_219,ba82128f,6,C,9427728347,student_219@school.com,,,44.0,,87.0,81.0,97.0,90.0,,
Student_220,274497f6,6,C,7341303698,student_220@school.com,,,60.0,91.0,,,89.0,,91.0,98.0
Student_221,50929cbc,9,E,7976195033,student_221@school.com,42.0,67.0,,63.0,,63.0,90.0,,,
Student_222,c20e5ac6,10,C,7020350529,student_222@school.com,100.0,,,41.0,,66.0,48.0,,44.0,
Student_223,197b6598,11,D,6546544308,student_223@school.com,,100.0,53.0,,,46.0,66.0,,,88.0
Student_224,6427c3e3,6,B,8465135350,student_224@school.com,,49.0,65.0,55.0,,85.0,,,,57.0
Student_225,db5fbcfd,10,A,6595450086,student_225@school.com,56.0,,45.0,47.0,,,59.0,,,78.0
Student_226,06970b82,7,E,6241761195,student_226@school.com,,,,,62.0,56.0,,47.0,41.0,89.0
Student_227,60032088,11,A,7805884074,student_227@school.com,67.0,50.0,80.0,,,,,,70.0,62.0
Student_228,eeb5adb0,6,C,9434478725,student_228@school.com,,,96.0,,,,67.0,45.0,44.0,92.0
Student_229,a56087ad,8,E,6913619748,student_229@school.com,,61.0,,73.0,,,70.0,53.0,,42.0
Student_230,d7a74b68,6,C,6966467602,student_230@school.com,82.0,,,,89.0,72.0,66.0,,,54.0
Student_231,d192dcee,9,D,6329320256,student_231@school.com,49.0,69.0,,,,,40.0,64.0,41.0,
Student_232,a92cb04c,8,E,9787628340,student_232@school.com,73.0,,,50.0,,88.0,,76.0,53.0,
Student_233,72be7cd9,11,B,9749415257,student_233@school.com,,,50.0,,57.0,,,96.0,48.0,73.0
Student_234,2d45fa09,8,E,7959543524,student_234@school.com,,68.0,,86.0,51.0,62.0,,,68.0,
Student_235,f0afb9c3,9,B,7074902466,student_235@school.com,,,,99.0,43.0,92.0,,86.0,,66.0
Student_236,d1dfba4e,11,A,7220433986,student_236@school.com,95.0,,91.0,,77.0,89.0,,85.0,,
Student_237,72d015b0,8,C,9888329671,student_237@school.com,85.0,,,80.0,65.0,,60.0,,56.0,
Student_238,27814533,10,A,8477459496,student_238@school.com,,46.0,,78.0,,,63.0,87.0,,89.0
Student_239,c9210bad,11,C,6321639148,student_239@school.com,,97.0,52.0,,50.0,,92.0,,76.0,
Student_240,31bad8a8,9,D,6124380465,student_240@school.com,,97.0,88.0,,81.0,,50.0,,95.0,
Student_241,b3da0ab4,7,C,6496452761,student_241@school.com,64.0,,96.0,,,93.0,81.0,,45.0,
Student_242,6375a6ac,10,D,6918554331,student_242@school.com,75.0,,,94.0,73.0,,,85.0,,55.0
Student_243,ee253415,7,E,6264035038,student_243@school.com,,,99.0,88.0,93.0,,40.0,,,99.0
Student_244,f231dd73,7,A,9248744889,student_244@school.com,,76.0,89.0,45.0,57.0,99.0,,,,
Student_245,eef26c74,11,A,6571398995,student_245@school.com,77.0,62.0,53.0,,,,,71.0,,72.0
Student_246,50c16d3a,10,E,8089383482,student_246@school.com,,46.0,49.0,63.0,,,,97.0,,80.0
Student_247,91fcde2d,8,D,7561765768,student_247@school.com,83.0,72.0,,,89.0,,,55.0,44.0,
Student_248,196ce9dd,7,D,9932403990,student_248@school.com,73.0,,89.0,,61.0,59.0,70.0,,,
Student_249,c005bccd,7,B,8085458903,student_249@school.com,55.0,,,,,,40.0,59.0,51.0,70.0
Student_250,b6b43522,6,A,9304094383,student_250@school.com,,,60.0,44.0,,,,71.0,97.0,61.0
Student_251,cb791573,9,B,9428058744,student_251@school.com,98.0,47.0,64.0,99.0,,49.0,,,,
Student_252,c0208612,10,B,9099348679,student_252@school.com,69.0,,86.0,,,86.0,82.0,,,75.0
Student_253,006d1834,6,B,9673724249,student_253@school.com,88.0,69.0,63.0,,,97.0,,,73.0,
Student_254,9ed579ee,11,E,9769837801,student_254@school.com,51.0,,61.0,,,,63.0,75.0,84.0,
Student_255,e0a5c68d,6,B,7354014641,student_255@school.com,,,45.0,,82.0,56.0,41.0,,,88.0
Student_256,0d5cf31f,9,C,9835214463,student_256@school.com,,,,87.0,,90.0,,72.0,58.0,76.0
Student_257,b79d75c7,9,E,9422232733,student_257@school.com,58.0,53.0,,41.0,40.0,,58.0,,,
Student_258,ca4e050b,8,E,8938629811,student_258@school.com,,46.0,,,99.0,,56.0,,53.0,64.0
